state,vegetable,date,month,season,modal_price,min_price,max_price,msp,price_lag_1m,price_lag_4m,rolling_avg_3m,arrival_qty,temp_max,temp_min,rainfall_mm,humidity,rainfall_deviation,price_direction
Andaman and Nicobar,Onion,2024-03-01,3,Summer,34.29,24.29,52.68,0.0,75.0,60.0,66.42999999999999,0.56,33.4,23.66,6.2,93.35,-40.72,UP
Andaman and Nicobar,Potato,2022-01-01,1,Winter,30.0,20.0,40.0,0.0,,,30.0,2.5,28.81,24.04,19.3,89.77,-17.82,UP
Andaman and Nicobar,Potato,2022-03-01,3,Summer,35.0,30.0,40.0,0.0,30.0,,32.5,19.5,29.8,24.64,149.5,95.65,102.58,STABLE
Andaman and Nicobar,Potato,2022-04-01,4,Summer,35.0,30.0,40.0,0.0,35.0,,33.333333333333336,32.0,30.8,25.51,84.1,94.83,-9.33,STABLE
Andaman and Nicobar,Potato,2022-05-01,5,Summer,35.0,30.0,40.0,0.0,35.0,,35.0,6.5,29.11,25.42,424.0,93.68,111.2,UP
Andaman and Nicobar,Potato,2023-01-01,1,Winter,60.0,60.0,60.0,0.0,35.0,30.0,43.333333333333336,0.21,28.85,23.96,9.6,86.52,-27.52,STABLE
Andaman and Nicobar,Potato,2023-02-01,2,Winter,60.0,60.0,60.0,0.0,60.0,35.0,51.66666666666666,0.18,29.98,23.68,14.3,91.86,-32.0,STABLE
Andaman and Nicobar,Potato,2023-05-01,5,Summer,60.0,60.0,60.0,0.0,60.0,35.0,60.0,0.33,31.46,26.67,113.3,90.0,-199.5,STABLE
Andaman and Nicobar,Potato,2023-06-01,6,Monsoon,60.0,60.0,60.0,0.0,60.0,35.0,60.0,0.33,29.46,25.63,298.0,91.73,-21.95,STABLE
Andaman and Nicobar,Potato,2023-09-01,9,Monsoon,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.06,28.01,24.68,578.3,93.93,214.85,DOWN
Andaman and Nicobar,Potato,2023-11-01,11,Post-Monsoon,40.0,30.0,50.0,0.0,60.0,60.0,53.333333333333336,0.45,29.29,24.67,242.2,92.17,62.5,UP
Andaman and Nicobar,Potato,2023-12-01,12,Winter,45.0,40.0,50.0,0.0,40.0,60.0,48.333333333333336,0.3,29.29,25.21,113.8,89.35,-7.63,STABLE
Andaman and Nicobar,Potato,2024-02-01,2,Winter,45.0,40.0,50.0,0.0,45.0,60.0,43.333333333333336,0.2,31.12,23.59,3.4,91.28,-42.9,DOWN
Andaman and Nicobar,Potato,2024-03-01,3,Summer,36.64,31.31,51.31,0.0,45.0,60.0,42.21333333333333,1.07,33.4,23.66,6.2,93.35,-40.72,UP
Andaman and Nicobar,Tomato,2022-01-01,1,Winter,51.38,41.38,62.76,0.0,,,51.38,0.58,28.81,24.04,19.3,89.77,-17.82,UP
Andaman and Nicobar,Tomato,2022-03-01,3,Summer,60.0,50.0,80.0,0.0,51.38,,55.69,5.4,29.8,24.64,149.5,95.65,102.58,UP
Andaman and Nicobar,Tomato,2022-05-01,5,Summer,65.6,46.8,84.4,0.0,60.0,,58.99333333333333,2.5,29.11,25.42,424.0,93.68,111.2,UP
Andaman and Nicobar,Tomato,2022-06-01,6,Monsoon,87.06,67.06,107.06,0.0,65.6,,70.88666666666667,1.7,28.88,25.33,252.9,92.8,-67.05,UP
Andaman and Nicobar,Tomato,2023-01-01,1,Winter,120.0,120.0,140.0,0.0,87.06,51.38,90.88666666666666,0.14,28.85,23.96,9.6,86.52,-27.52,STABLE
Andaman and Nicobar,Tomato,2023-02-01,2,Winter,120.0,120.0,140.0,0.0,120.0,60.0,109.02,0.12,29.98,23.68,14.3,91.86,-32.0,STABLE
Andaman and Nicobar,Tomato,2023-05-01,5,Summer,120.0,120.0,140.0,0.0,120.0,65.6,120.0,0.14,31.46,26.67,113.3,90.0,-199.5,STABLE
Andaman and Nicobar,Tomato,2023-06-01,6,Monsoon,120.31,116.88,132.19,0.0,120.0,87.06,120.10333333333334,0.32,29.46,25.63,298.0,91.73,-21.95,UP
Andaman and Nicobar,Tomato,2023-09-01,9,Monsoon,190.0,180.0,200.0,0.0,120.31,120.0,143.43666666666667,0.06,28.01,24.68,578.3,93.93,214.85,DOWN
Andaman and Nicobar,Tomato,2023-11-01,11,Post-Monsoon,90.0,85.0,100.0,0.0,190.0,120.0,133.43666666666667,0.1,29.29,24.67,242.2,92.17,62.5,STABLE
Andaman and Nicobar,Tomato,2023-12-01,12,Winter,90.0,80.0,100.0,0.0,90.0,120.0,123.33333333333331,0.1,29.29,25.21,113.8,89.35,-7.63,DOWN
Andaman and Nicobar,Tomato,2024-02-01,2,Winter,10.51,8.91,12.11,0.0,90.0,120.31,63.50333333333333,0.35,31.12,23.59,3.4,91.28,-42.9,UP
Andaman and Nicobar,Tomato,2024-03-01,3,Summer,32.2,26.88,42.29,0.0,10.51,190.0,44.23666666666667,1.05,33.4,23.66,6.2,93.35,-40.72,UP
Andaman and Nicobar,Tomato,2024-04-01,4,Summer,40.0,30.0,45.0,0.0,32.2,90.0,27.570000000000004,0.05,35.06,25.7,10.4,94.07,-83.02,UP
Andaman and Nicobar,Tomato,2024-07-01,7,Monsoon,120.0,100.0,160.0,0.0,40.0,90.0,64.06666666666666,0.2,29.33,25.49,285.8,92.32,-13.75,STABLE
Andaman and Nicobar,Tomato,2024-08-01,8,Monsoon,115.0,90.0,130.0,0.0,120.0,10.51,91.66666666666669,1.0,29.29,25.26,318.9,93.26,12.95,DOWN
Andaman and Nicobar,Tomato,2024-09-01,9,Monsoon,53.7,46.97,67.1,0.0,115.0,32.2,96.23333333333336,0.3,29.27,25.16,192.2,92.3,-171.25,UP
Andaman and Nicobar,Tomato,2024-10-01,10,Post-Monsoon,97.96,81.63,114.3,0.0,53.7,40.0,88.88666666666667,0.27,28.91,24.31,296.9,95.52,-49.55,DOWN
Andaman and Nicobar,Tomato,2024-11-01,11,Post-Monsoon,1.23,1.07,1.5,0.0,97.96,120.0,50.96333333333334,0.15,29.58,25.17,175.1,91.57,-4.6,UP
Andhra Pradesh,Onion,2022-01-01,1,Winter,16.08,5.07,22.12,0.0,,,16.08,1776.9,30.17,19.59,35.8,96.03,23.7,UP
Andhra Pradesh,Onion,2022-02-01,2,Winter,17.2,6.62,24.02,0.0,16.08,,16.64,2445.9,33.83,20.37,0.9,96.14,-5.38,DOWN
Andhra Pradesh,Onion,2022-03-01,3,Summer,10.53,4.4,15.13,0.0,17.2,,14.603333333333332,3166.1,37.93,23.3,15.6,88.19,-20.42,DOWN
Andhra Pradesh,Onion,2022-04-01,4,Summer,6.84,3.59,10.87,0.0,10.53,,11.523333333333332,1643.6,38.96,25.9,1.0,93.27,-25.5,DOWN
Andhra Pradesh,Onion,2022-05-01,5,Summer,5.78,4.27,8.09,0.0,6.84,16.08,7.716666666666666,411.4,37.05,27.21,93.7,81.23,-22.42,UP
Andhra Pradesh,Onion,2022-06-01,6,Monsoon,9.08,6.95,10.46,0.0,5.78,17.2,7.233333333333334,223.8,37.16,27.45,64.2,75.6,-14.67,STABLE
Andhra Pradesh,Onion,2022-07-01,7,Monsoon,8.95,6.19,11.15,0.0,9.08,10.53,7.936666666666667,542.4,31.62,25.07,196.5,89.03,-2.72,DOWN
Andhra Pradesh,Onion,2022-08-01,8,Monsoon,8.18,4.3,12.28,0.0,8.95,6.84,8.736666666666666,4282.4,32.41,25.03,191.0,87.52,41.47,DOWN
Andhra Pradesh,Onion,2022-09-01,9,Monsoon,7.38,3.9,12.22,0.0,8.18,5.78,8.17,7861.5,32.51,24.96,182.6,87.43,28.65,UP
Andhra Pradesh,Onion,2022-10-01,10,Post-Monsoon,8.36,3.87,16.37,0.0,7.38,9.08,7.973333333333334,4425.6,30.55,22.68,220.2,91.45,26.82,UP
Andhra Pradesh,Onion,2022-11-01,11,Post-Monsoon,10.25,4.37,19.91,0.0,8.36,8.95,8.663333333333334,9554.8,29.88,21.02,63.4,94.77,-7.18,STABLE
Andhra Pradesh,Onion,2022-12-01,12,Winter,10.58,5.87,16.78,0.0,10.25,8.18,9.730000000000002,1905.5,29.63,20.67,87.3,97.06,-5.25,STABLE
Andhra Pradesh,Onion,2023-01-01,1,Winter,10.51,7.59,13.73,0.0,10.58,7.38,10.446666666666667,476.6,30.98,18.6,4.5,96.32,-7.6,DOWN
Andhra Pradesh,Onion,2023-02-01,2,Winter,7.08,4.05,9.82,0.0,10.51,8.36,9.39,1613.9,34.66,19.88,0.0,90.25,-6.28,DOWN
Andhra Pradesh,Onion,2023-03-01,3,Summer,6.22,3.55,8.55,0.0,7.08,10.25,7.936666666666668,1151.2,34.61,22.09,116.0,90.32,79.97,STABLE
Andhra Pradesh,Onion,2023-04-01,4,Summer,6.44,3.41,8.04,0.0,6.22,10.58,6.580000000000001,688.3,38.71,25.2,74.6,84.5,48.1,UP
Andhra Pradesh,Onion,2023-05-01,5,Summer,7.26,6.32,8.41,0.0,6.44,10.51,6.640000000000001,35.0,38.02,27.2,117.5,81.77,1.38,UP
Andhra Pradesh,Onion,2023-06-01,6,Monsoon,14.62,9.9,19.35,0.0,7.26,7.08,9.44,25.4,38.86,28.94,34.7,66.37,-44.18,UP
Andhra Pradesh,Onion,2023-08-01,8,Monsoon,20.6,12.68,25.49,0.0,14.62,6.22,14.160000000000002,328.8,34.83,26.65,31.6,78.39,-117.93,DOWN
Andhra Pradesh,Onion,2023-09-01,9,Monsoon,18.92,10.77,24.06,0.0,20.6,6.44,18.04666666666667,2869.4,34.15,25.9,165.9,84.57,11.95,UP
Andhra Pradesh,Onion,2023-10-01,10,Post-Monsoon,26.89,12.72,36.34,0.0,18.92,7.26,22.13666666666667,5290.6,35.35,24.54,31.8,84.35,-161.57,UP
Andhra Pradesh,Onion,2023-11-01,11,Post-Monsoon,33.53,5.86,40.56,0.0,26.89,14.62,26.44666666666667,13257.2,30.93,22.71,149.4,96.47,78.82,DOWN
Andhra Pradesh,Onion,2023-12-01,12,Winter,23.99,3.41,29.89,0.0,33.53,20.6,28.136666666666667,7077.4,28.94,20.02,145.7,97.42,53.15,DOWN
Andhra Pradesh,Onion,2024-01-01,1,Winter,11.35,3.3,15.7,0.0,23.99,18.92,22.956666666666667,4236.4,31.08,20.05,6.3,97.06,-5.8,STABLE
Andhra Pradesh,Onion,2024-02-01,2,Winter,11.22,4.48,13.88,0.0,11.35,26.89,15.52,3165.1,34.2,21.84,23.9,97.86,17.62,STABLE
Andhra Pradesh,Onion,2024-03-01,3,Summer,11.7,3.27,15.26,0.0,11.22,33.53,11.423333333333332,5706.8,37.3,23.75,4.4,95.13,-31.62,DOWN
Andhra Pradesh,Onion,2024-04-01,4,Summer,10.47,3.7,14.35,0.0,11.7,23.99,11.13,1458.5,41.31,26.14,2.5,88.0,-24.0,UP
Andhra Pradesh,Onion,2024-05-01,5,Summer,12.11,7.73,14.97,0.0,10.47,11.35,11.426666666666668,187.3,38.97,28.06,171.0,84.52,54.88,UP
Andhra Pradesh,Onion,2024-06-01,6,Monsoon,35.42,32.46,37.57,0.0,12.11,11.22,19.33333333333333,21.4,34.83,27.05,175.1,83.5,96.22,STABLE
Andhra Pradesh,Onion,2024-07-01,7,Monsoon,35.97,33.78,37.16,0.0,35.42,11.7,27.83333333333333,54.6,31.8,25.84,274.9,86.81,75.67,STABLE
Andhra Pradesh,Onion,2024-08-01,8,Monsoon,35.06,30.88,35.77,0.0,35.97,10.47,35.483333333333334,102.2,33.18,25.9,166.0,86.61,16.47,UP
Andhra Pradesh,Onion,2024-09-01,9,Monsoon,48.29,45.21,50.42,0.0,35.06,12.11,39.77333333333333,24.0,31.75,24.9,179.1,88.13,25.15,DOWN
Andhra Pradesh,Onion,2024-10-01,10,Post-Monsoon,44.74,41.52,47.17,0.0,48.29,35.42,42.696666666666665,23.0,31.88,23.92,153.3,92.52,-40.08,DOWN
Andhra Pradesh,Onion,2024-11-01,11,Post-Monsoon,35.33,7.35,48.48,0.0,44.74,35.97,42.78666666666667,972.9,30.33,21.64,48.9,92.97,-21.68,DOWN
Andhra Pradesh,Onion,2024-12-01,12,Winter,29.34,9.61,39.03,0.0,35.33,35.06,36.470000000000006,1662.0,28.55,21.35,123.2,96.81,30.65,DOWN
Andhra Pradesh,Onion,2025-01-01,1,Winter,19.16,9.23,24.92,,29.34,48.29,27.94333333333333,1610.6,29.59,18.58,1.8,97.23,-10.3,STABLE
Andhra Pradesh,Onion,2025-02-01,2,Winter,19.53,8.87,26.59,,19.16,44.74,22.676666666666662,3867.0,34.66,20.74,0.3,94.46,-5.98,DOWN
Andhra Pradesh,Onion,2025-03-01,3,Summer,13.11,6.36,18.63,,19.53,35.33,17.266666666666666,3813.2,37.42,23.19,8.1,93.13,-27.92,DOWN
Andhra Pradesh,Onion,2025-04-01,4,Summer,8.91,5.52,12.4,,13.11,29.34,13.85,1706.0,36.72,25.56,27.9,92.63,1.4,STABLE
Andhra Pradesh,Onion,2025-05-01,5,Summer,8.69,6.25,9.84,,8.91,19.16,10.236666666666666,249.8,36.46,26.74,82.3,86.81,-33.83,DOWN
Andhra Pradesh,Onion,2025-06-01,6,Monsoon,7.12,7.12,7.12,,8.69,19.53,8.24,16.9,35.65,27.16,41.5,75.83,-37.38,UP
Andhra Pradesh,Onion,2025-07-01,7,Monsoon,12.38,9.25,13.17,,7.12,13.11,9.396666666666668,190.1,34.34,26.14,119.9,81.13,-79.32,DOWN
Andhra Pradesh,Onion,2025-08-01,8,Monsoon,9.53,5.3,12.96,,12.38,8.91,9.676666666666668,3898.9,33.19,25.54,209.5,86.35,59.97,DOWN
Andhra Pradesh,Onion,2025-09-01,9,Monsoon,6.62,3.52,12.23,,9.53,8.69,9.51,7060.5,32.9,25.07,88.2,87.03,-65.75,DOWN
Andhra Pradesh,Onion,2025-10-01,10,Post-Monsoon,6.15,2.32,12.04,,6.62,7.12,7.433333333333334,2844.3,30.45,24.03,368.2,94.1,174.82,STABLE
Andhra Pradesh,Onion,2025-11-01,11,Post-Monsoon,6.4,2.36,11.7,,6.15,12.38,6.390000000000001,5047.6,30.06,21.48,20.6,90.83,-49.98,UP
Andhra Pradesh,Potato,2022-01-01,1,Winter,18.0,13.5,22.46,0.0,,,18.0,16.48,30.17,19.59,35.8,96.03,23.7,DOWN
Andhra Pradesh,Potato,2022-02-01,2,Winter,14.38,9.72,21.39,0.0,18.0,,16.19,5.48,33.83,20.37,0.9,96.14,-5.38,UP
Andhra Pradesh,Potato,2022-03-01,3,Summer,15.3,11.19,19.4,0.0,14.38,,15.893333333333333,2.98,37.93,23.3,15.6,88.19,-20.42,STABLE
Andhra Pradesh,Potato,2022-04-01,4,Summer,14.61,10.0,19.22,0.0,15.3,,14.763333333333334,1.96,38.96,25.9,1.0,93.27,-25.5,UP
Andhra Pradesh,Potato,2022-05-01,5,Summer,16.2,11.26,21.13,0.0,14.61,18.0,15.37,4.3,37.05,27.21,93.7,81.23,-22.42,DOWN
Andhra Pradesh,Potato,2023-04-01,4,Summer,12.15,8.86,15.45,0.0,16.2,14.38,14.32,2.74,38.71,25.2,74.6,84.5,48.1,UP
Andhra Pradesh,Potato,2023-05-01,5,Summer,15.0,10.0,20.0,0.0,12.15,15.3,14.45,8.58,38.02,27.2,117.5,81.77,1.38,STABLE
Andhra Pradesh,Potato,2023-10-01,10,Post-Monsoon,15.0,11.14,21.14,0.0,15.0,14.61,14.05,4.32,35.35,24.54,31.8,84.35,-161.57,STABLE
Andhra Pradesh,Potato,2023-11-01,11,Post-Monsoon,15.0,10.0,20.0,0.0,15.0,16.2,15.0,9.1,30.93,22.71,149.4,96.47,78.82,UP
Andhra Pradesh,Potato,2023-12-01,12,Winter,16.64,12.48,20.81,0.0,15.0,12.15,15.546666666666669,10.3,28.94,20.02,145.7,97.42,53.15,UP
Andhra Pradesh,Potato,2024-01-01,1,Winter,20.0,15.0,25.0,0.0,16.64,15.0,17.213333333333335,0.8,31.08,20.05,6.3,97.06,-5.8,DOWN
Andhra Pradesh,Potato,2024-02-01,2,Winter,17.91,12.91,22.91,0.0,20.0,15.0,18.183333333333334,15.84,34.2,21.84,23.9,97.86,17.62,UP
Andhra Pradesh,Potato,2024-03-01,3,Summer,19.44,14.44,24.74,0.0,17.91,15.0,19.116666666666667,16.95,37.3,23.75,4.4,95.13,-31.62,UP
Andhra Pradesh,Potato,2024-05-01,5,Summer,23.33,17.5,29.52,0.0,19.44,16.64,20.226666666666667,21.84,38.97,28.06,171.0,84.52,54.88,UP
Andhra Pradesh,Potato,2024-06-01,6,Monsoon,25.14,20.14,30.87,0.0,23.33,20.0,22.636666666666667,16.1,34.83,27.05,175.1,83.5,96.22,STABLE
Andhra Pradesh,Potato,2024-07-01,7,Monsoon,24.02,17.47,33.56,0.0,25.14,17.91,24.16333333333333,20.29,31.8,25.84,274.9,86.81,75.67,STABLE
Andhra Pradesh,Potato,2024-08-01,8,Monsoon,24.01,19.01,29.01,0.0,24.02,19.44,24.39,22.73,33.18,25.9,166.0,86.61,16.47,UP
Andhra Pradesh,Potato,2024-09-01,9,Monsoon,27.91,19.24,36.57,0.0,24.01,23.33,25.313333333333333,18.3,31.75,24.9,179.1,88.13,25.15,UP
Andhra Pradesh,Potato,2024-10-01,10,Post-Monsoon,31.36,24.59,36.77,0.0,27.91,25.14,27.76,18.52,31.88,23.92,153.3,92.52,-40.08,DOWN
Andhra Pradesh,Potato,2024-11-01,11,Post-Monsoon,28.74,23.74,34.28,0.0,31.36,24.02,29.336666666666662,24.7,30.33,21.64,48.9,92.97,-21.68,DOWN
Andhra Pradesh,Potato,2024-12-01,12,Winter,25.0,20.0,30.95,0.0,28.74,24.01,28.366666666666664,18.96,28.55,21.35,123.2,96.81,30.65,STABLE
Andhra Pradesh,Potato,2025-01-01,1,Winter,25.0,20.0,30.0,,25.0,27.91,26.24666666666667,7.82,29.59,18.58,1.8,97.23,-10.3,DOWN
Andhra Pradesh,Potato,2025-02-01,2,Winter,19.44,13.31,24.2,,25.0,31.36,23.146666666666665,30.08,34.66,20.74,0.3,94.46,-5.98,DOWN
Andhra Pradesh,Potato,2025-03-01,3,Summer,15.92,11.96,19.92,,19.44,28.74,20.12,38.0,37.42,23.19,8.1,93.13,-27.92,DOWN
Andhra Pradesh,Potato,2025-04-01,4,Summer,12.22,8.58,17.11,,15.92,25.0,15.86,50.77,36.72,25.56,27.9,92.63,1.4,UP
Andhra Pradesh,Potato,2025-05-01,5,Summer,15.54,10.49,20.56,,12.22,25.0,14.56,48.42,36.46,26.74,82.3,86.81,-33.83,UP
Andhra Pradesh,Potato,2025-06-01,6,Monsoon,18.82,13.59,23.92,,15.54,19.44,15.526666666666666,43.29,35.65,27.16,41.5,75.83,-37.38,DOWN
Andhra Pradesh,Potato,2025-07-01,7,Monsoon,15.19,10.17,20.26,,18.82,15.92,16.516666666666666,46.88,34.34,26.14,119.9,81.13,-79.32,STABLE
Andhra Pradesh,Potato,2025-08-01,8,Monsoon,15.49,10.45,20.58,,15.19,12.22,16.5,32.88,33.19,25.54,209.5,86.35,59.97,STABLE
Andhra Pradesh,Potato,2025-09-01,9,Monsoon,15.72,11.06,20.42,,15.49,15.54,15.466666666666669,33.8,32.9,25.07,88.2,87.03,-65.75,UP
Andhra Pradesh,Potato,2025-10-01,10,Post-Monsoon,17.59,12.66,22.34,,15.72,18.82,16.26666666666667,27.73,30.45,24.03,368.2,94.1,174.82,UP
Andhra Pradesh,Potato,2025-11-01,11,Post-Monsoon,22.03,18.66,25.73,,17.59,15.19,18.44666666666667,37.47,30.06,21.48,20.6,90.83,-49.98,DOWN
Andhra Pradesh,Tomato,2022-01-01,1,Winter,15.63,9.94,21.76,0.0,,,15.63,3587.98,30.17,19.59,35.8,96.03,23.7,DOWN
Andhra Pradesh,Tomato,2022-02-01,2,Winter,7.5,5.34,9.89,0.0,15.63,,11.565,5156.4,33.83,20.37,0.9,96.14,-5.38,DOWN
Andhra Pradesh,Tomato,2022-03-01,3,Summer,6.45,5.18,8.06,0.0,7.5,,9.86,7316.33,37.93,23.3,15.6,88.19,-20.42,UP
Andhra Pradesh,Tomato,2022-04-01,4,Summer,10.43,6.93,14.34,0.0,6.45,,8.126666666666667,4977.83,38.96,25.9,1.0,93.27,-25.5,DOWN
Andhra Pradesh,Tomato,2022-05-01,5,Summer,4.8,4.5,5.3,0.0,10.43,15.63,7.226666666666667,69.0,37.05,27.21,93.7,81.23,-22.42,UP
Andhra Pradesh,Tomato,2022-06-01,6,Monsoon,31.95,27.97,34.13,0.0,4.8,7.5,15.726666666666668,44548.46,37.16,27.45,64.2,75.6,-14.67,DOWN
Andhra Pradesh,Tomato,2022-07-01,7,Monsoon,10.67,8.68,12.24,0.0,31.95,6.45,15.806666666666668,25883.33,31.62,25.07,196.5,89.03,-2.72,UP
Andhra Pradesh,Tomato,2022-08-01,8,Monsoon,14.8,11.52,16.55,0.0,10.67,10.43,19.14,87902.63,32.41,25.03,191.0,87.52,41.47,UP
Andhra Pradesh,Tomato,2022-09-01,9,Monsoon,27.65,20.69,32.79,0.0,14.8,4.8,17.706666666666667,16389.35,32.51,24.96,182.6,87.43,28.65,DOWN
Andhra Pradesh,Tomato,2022-10-01,10,Post-Monsoon,20.46,13.07,26.8,0.0,27.65,31.95,20.97,15185.08,30.55,22.68,220.2,91.45,26.82,DOWN
Andhra Pradesh,Tomato,2022-11-01,11,Post-Monsoon,11.32,8.68,14.03,0.0,20.46,10.67,19.81,3098.29,29.88,21.02,63.4,94.77,-7.18,DOWN
Andhra Pradesh,Tomato,2022-12-01,12,Winter,9.81,8.23,11.59,0.0,11.32,14.8,13.863333333333337,2117.29,29.63,20.67,87.3,97.06,-5.25,UP
Andhra Pradesh,Tomato,2023-01-01,1,Winter,15.33,11.98,18.23,0.0,9.81,27.65,12.153333333333334,2407.81,30.98,18.6,4.5,96.32,-7.6,STABLE
Andhra Pradesh,Tomato,2023-02-01,2,Winter,14.94,11.06,18.96,0.0,15.33,20.46,13.36,1525.36,34.66,19.88,0.0,90.25,-6.28,DOWN
Andhra Pradesh,Tomato,2023-03-01,3,Summer,9.59,7.91,11.54,0.0,14.94,11.32,13.286666666666669,1945.26,34.61,22.09,116.0,90.32,79.97,DOWN
Andhra Pradesh,Tomato,2023-04-01,4,Summer,6.8,5.75,7.71,0.0,9.59,9.81,10.443333333333332,9868.86,38.71,25.2,74.6,84.5,48.1,UP
Andhra Pradesh,Tomato,2023-05-01,5,Summer,10.46,8.64,12.07,0.0,6.8,15.33,8.950000000000001,39917.45,38.02,27.2,117.5,81.77,1.38,UP
Andhra Pradesh,Tomato,2023-06-01,6,Monsoon,32.28,26.04,36.52,0.0,10.46,14.94,16.513333333333332,55659.38,38.86,28.94,34.7,66.37,-44.18,UP
Andhra Pradesh,Tomato,2023-07-01,7,Monsoon,111.44,101.31,117.31,0.0,32.28,9.59,51.39333333333334,17654.0,33.0,26.38,205.6,81.39,6.38,DOWN
Andhra Pradesh,Tomato,2023-08-01,8,Monsoon,30.63,25.47,34.26,0.0,111.44,6.8,58.11666666666667,4139.3,34.83,26.65,31.6,78.39,-117.93,DOWN
Andhra Pradesh,Tomato,2023-09-01,9,Monsoon,11.14,8.94,12.59,0.0,30.63,10.46,51.07,6501.99,34.15,25.9,165.9,84.57,11.95,UP
Andhra Pradesh,Tomato,2023-10-01,10,Post-Monsoon,14.81,11.19,17.27,0.0,11.14,32.28,18.86,8862.17,35.35,24.54,31.8,84.35,-161.57,UP
Andhra Pradesh,Tomato,2023-11-01,11,Post-Monsoon,23.63,16.97,28.27,0.0,14.81,111.44,16.526666666666667,11412.57,30.93,22.71,149.4,96.47,78.82,DOWN
Andhra Pradesh,Tomato,2023-12-01,12,Winter,16.44,11.51,19.9,0.0,23.63,30.63,18.293333333333333,9316.16,28.94,20.02,145.7,97.42,53.15,UP
Andhra Pradesh,Tomato,2024-01-01,1,Winter,17.56,11.27,24.87,0.0,16.44,11.14,19.21,3221.82,31.08,20.05,6.3,97.06,-5.8,DOWN
Andhra Pradesh,Tomato,2024-02-01,2,Winter,14.4,9.53,20.27,0.0,17.56,14.81,16.133333333333336,3718.9,34.2,21.84,23.9,97.86,17.62,STABLE
Andhra Pradesh,Tomato,2024-03-01,3,Summer,13.94,10.12,17.94,0.0,14.4,23.63,15.300000000000002,2561.97,37.3,23.75,4.4,95.13,-31.62,STABLE
Andhra Pradesh,Tomato,2024-04-01,4,Summer,14.16,11.79,16.96,0.0,13.94,16.44,14.166666666666666,9269.03,41.31,26.14,2.5,88.0,-24.0,UP
Andhra Pradesh,Tomato,2024-05-01,5,Summer,20.32,15.35,25.03,0.0,14.16,17.56,16.14,38315.86,38.97,28.06,171.0,84.52,54.88,UP
Andhra Pradesh,Tomato,2024-06-01,6,Monsoon,46.02,36.92,53.55,0.0,20.32,14.4,26.83333333333334,39561.78,34.83,27.05,175.1,83.5,96.22,DOWN
Andhra Pradesh,Tomato,2024-07-01,7,Monsoon,42.87,35.33,49.56,0.0,46.02,13.94,36.403333333333336,54855.98,31.8,25.84,274.9,86.81,75.67,DOWN
Andhra Pradesh,Tomato,2024-08-01,8,Monsoon,23.29,18.66,26.85,0.0,42.87,14.16,37.39333333333334,34465.3,33.18,25.9,166.0,86.61,16.47,UP
Andhra Pradesh,Tomato,2024-09-01,9,Monsoon,33.95,28.92,38.37,0.0,23.29,20.32,33.37,19117.6,31.75,24.9,179.1,88.13,25.15,UP
Andhra Pradesh,Tomato,2024-10-01,10,Post-Monsoon,51.66,43.47,57.51,0.0,33.95,46.02,36.3,21198.24,31.88,23.92,153.3,92.52,-40.08,DOWN
